Name,Country,Period,Introit,Kyrie,Gradual,Tract,Sequence/Dies Irae,Offertory,Sanctus,Benedictus,Agnus Dei,Communion/lux aeterna,Lacrimosa,Pie Jesu,Libera Me,In Paradisum,Other Texts,Commissioned
Steve Gray ,UK,21st Century,1,1,,,1,,1,,1,,,,,,,
Patrick Hawes,UK,21st Century,1,1,,,,1,1,1,1,1,,,,,,
Tyzen Hsiao,Taiwan,21st Century,,,,,,,,,,,,,,,,1994 poem in Taiwanese Hokkien by Lee Min-yung
Karl Jenkins,UK,21st Century,1,,,,1,,,,,1,1,1,,1,,
Rami Khalifé ,Lebanon,21st Century,,,,,,,,,,,,,,,,For Beruit/Arab Spring
Iver Kleive,Norway,21st Century,1,,,,1,,1,1,1,1,1,,,,,
Fan-Long Ko,Taiwan,21st Century,,,,,,,,,,,,,,,,
Thierry Lancino,France,21st Century,,1,,,1,1,1,1,1,,1,,,,,
György Ligeti ,Hungary,21st Century,1,1,,,1,,,,,,1,,,,,
Christopher Rouse,USA,21st Century,,,,,,,1,,1,,,,,,,for bicentennial birth of Hector Berlioz & 9/11
Carl Rütti,Switzerland,21st Century,,1,,,,1,1,1,1,1,,,,1,,The Bach Choir London
Keiki Kobayashi,Japan,21st Century,,,,,,,,,,,,,,,instrumental ,video game 
Kentaro Sato,Japan,21st Century,1,1,,,,,,,,,,,,1,,
Mattias Sköld,Sweden,21st Century,,,,,,,,,1,,,,,,,
Somtow Sucharitkul,Thialand,21st Century,,,,,,,,,,,,,,,English texts ,9/11
John Tavene,,21st Century,1,1,,,,,,,,,,,,,,The Liverpool Culture Company
Chris Williams,UK,21st Century,,1,,,1,,,,,,,1,,,,commissioned for Bangalore
Mack Wilberg,USA,21st Century,1,1,,,,,,,,,,,,,,
David Crowder Band,USA,21st Century,,,,,,,,,,,,,,,,
António Pinho Vargas,Portugal,21st Century,1,1,,,1,1,1,,1,,,,1,,,
Ehsan Saboohi ,Iran,21st Century,,,,,,,,,,,,,,,other texts ,
